# 各周期危险性曲线
周期(s), 谱加速度(cm/s^2), 年超越概率
0.025, 2.822354e+00, 2.705882e-04
0.025, 2.787626e+00, 2.823529e-04
0.025, 2.707690e+00, 2.941176e-04
0.025, 2.622344e+00, 3.058824e-04
0.025, 2.594671e+00, 3.176471e-04
0.025, 2.407736e+00, 3.294118e-04
0.025, 2.277556e+00, 3.411765e-04
0.025, 2.198116e+00, 3.529412e-04
0.025, 2.176702e+00, 3.647059e-04
0.025, 1.969678e+00, 3.764706e-04
0.025, 1.881117e+00, 3.882353e-04
0.025, 1.880063e+00, 4.000000e-04
0.025, 1.874664e+00, 4.117647e-04
0.025, 1.812390e+00, 4.235294e-04
0.025, 1.753314e+00, 4.352941e-04
0.025, 1.738180e+00, 4.470588e-04
0.025, 1.698755e+00, 4.588235e-04
0.025, 1.643839e+00, 4.705882e-04
0.025, 1.587499e+00, 4.823529e-04
0.025, 1.544078e+00, 4.941176e-04
0.025, 1.513399e+00, 5.058824e-04
0.025, 1.481219e+00, 5.176471e-04
0.025, 1.437071e+00, 5.294118e-04
0.025, 1.385810e+00, 5.411765e-04
0.025, 1.362066e+00, 5.529412e-04
0.025, 1.344349e+00, 5.647059e-04
0.025, 1.342175e+00, 5.764706e-04
0.025, 1.294861e+00, 5.882353e-04
0.025, 1.281398e+00, 6.000000e-04
0.025, 1.220718e+00, 6.117647e-04
0.025, 1.199258e+00, 6.235294e-04
0.025, 1.146017e+00, 6.352941e-04
0.025, 1.142349e+00, 6.470588e-04
0.025, 1.112717e+00, 6.588235e-04
0.025, 1.111971e+00, 6.705882e-04
0.025, 1.101291e+00, 6.823529e-04
0.025, 1.097551e+00, 6.941176e-04
0.025, 1.086360e+00, 7.058824e-04
0.025, 1.046043e+00, 7.176471e-04
0.025, 1.040826e+00, 7.294118e-04
0.025, 1.033844e+00, 7.411765e-04
0.025, 1.029932e+00, 7.529412e-04
0.025, 1.019093e+00, 7.647059e-04
0.025, 9.905256e-01, 7.764706e-04
0.025, 9.858360e-01, 7.882353e-04
0.025, 9.211958e-01, 8.000000e-04
0.025, 8.874726e-01, 8.117647e-04
0.025, 8.846028e-01, 8.235294e-04
0.025, 8.605473e-01, 8.352941e-04
0.025, 8.459615e-01, 8.470588e-04
0.025, 8.423560e-01, 8.588235e-04
0.025, 8.113423e-01, 8.705882e-04
0.025, 7.906025e-01, 8.823529e-04
0.025, 7.618056e-01, 8.941176e-04
0.025, 7.616595e-01, 9.058824e-04
0.025, 7.584098e-01, 9.176471e-04
0.025, 7.484465e-01, 9.294118e-04
0.025, 7.441005e-01, 9.411765e-04
0.025, 7.369728e-01, 9.529412e-04
0.025, 7.253855e-01, 9.647059e-04
0.025, 7.248593e-01, 9.764706e-04
0.025, 7.246643e-01, 9.882353e-04
0.025, 7.242318e-01, 1.000000e-03
0.025, 7.215596e-01, 1.011765e-03
0.025, 7.174193e-01, 1.023529e-03
0.025, 7.151233e-01, 1.035294e-03
0.025, 7.140124e-01, 1.047059e-03
0.025, 7.112300e-01, 1.058824e-03
0.025, 6.867204e-01, 1.070588e-03
0.025, 6.788281e-01, 1.082353e-03
0.025, 6.779300e-01, 1.094118e-03
0.025, 6.716079e-01, 1.105882e-03
0.025, 6.271969e-01, 1.117647e-03
0.025, 6.213337e-01, 1.129412e-03
0.025, 6.197979e-01, 1.141176e-03
0.025, 6.174206e-01, 1.152941e-03
0.025, 6.047331e-01, 1.164706e-03
0.025, 5.770208e-01, 1.176471e-03
0.025, 5.618626e-01, 1.188235e-03
0.025, 5.588246e-01, 1.200000e-03
0.025, 5.582988e-01, 1.211765e-03
0.025, 5.545483e-01, 1.223529e-03
0.025, 5.520493e-01, 1.235294e-03
0.025, 5.452098e-01, 1.247059e-03
0.025, 5.446906e-01, 1.258824e-03
0.025, 5.401438e-01, 1.270588e-03
0.025, 5.391129e-01, 1.282353e-03
