# 地震模拟系统 - 地震动加速度谱数据
# 模拟参数
# 总模拟次数: 5
# 时间跨度: 500.0 年
# 区域范围: 经度 [-90.5, -89.5], 纬度 [35.0, 35.5]

事件 1
震级(M), 时间(年), 经度(deg), 纬度(deg), 深度(km), 距离(km)
4.66, 46.11, -89.6236, 35.3604, 14.93, 36.29

频率(Hz), 加速度谱(cm/s^2)
7.6, 1.261803e+01
7.7, 1.344833e+01
7.8, 2.154663e+01
7.9, 1.569845e+01
8.0, 6.678398e+00
8.1, 1.005420e+01
8.2, 9.978340e+00
8.3, 1.120051e+01
8.4, 7.000507e+00
8.5, 1.252007e+01
8.6, 6.985807e+00
8.7, 8.144475e+00
8.8, 5.274266e+00
8.9, 1.441857e+01
9.0, 4.197944e+00
9.1, 9.541861e+00
9.2, 7.721339e+00
9.3, 4.884347e+00
9.4, 7.939124e+00
9.5, 5.892618e+00
9.6, 9.691274e+00
9.7, 1.012288e+01
9.8, 3.701745e+00
9.9, 4.266090e+00
10.0, 4.251374e+00

事件 10
震级(M), 时间(年), 经度(deg), 纬度(deg), 深度(km), 距离(km)
4.64, 195.36, -90.2373, 35.4379, 12.03, 30.00

频率(Hz), 加速度谱(cm/s^2)
0.1, 1.756483e+01
0.2, 2.400776e+01
0.3, 2.509108e+01
0.4, 2.620369e+01
0.5, 2.049165e+01
0.6, 8.393290e+00
0.7, 2.813888e+01
0.8, 1.507482e+01
0.9, 2.289973e+01
1.0, 2.117419e+01
1.1, 1.283740e+01
1.2, 1.608576e+01
1.3, 1.270226e+01
1.4, 2.008949e+01
1.5, 1.022031e+01
1.6, 1.694859e+01
1.7, 2.100932e+01
1.8, 1.681808e+01
1.9, 2.088059e+01
